category,predictor,nfactors,k,recall,precision
Toys and Games,CDL-SDAE-SGD,25,0,0.019992786108105322,1.0
Toys and Games,CDL-SDAE-SGD,25,1,0.5463827447261519,0.9539341474725614
Toys and Games,CDL-SDAE-SGD,25,2,0.8704553411453199,0.9403823362704179
Toys and Games,CDL-SDAE-SGD,25,3,0.9365410545047234,0.9381408770031432
Toys and Games,CDL-SDAE-SGD,25,4,0.9625553361561042,0.9367668023565382
Toys and Games,CDL-SDAE-SGD,25,5,0.975555508015219,0.9361072465261675
Toys and Games,CDL-SDAE-SGD,25,6,0.9819403761110935,0.9357482695247419
Toys and Games,CDL-SDAE-SGD,25,7,0.9859703286216459,0.9354599592194275
Toys and Games,CDL-SDAE-SGD,25,8,0.9887432212768916,0.9352593688580705
Toys and Games,CDL-SDAE-SGD,25,9,0.9905421017061588,0.9351548819318181
Toys and Games,CDL-SDAE-SGD,25,10,0.9917270195066958,0.9350260624336988
Toys and Games,CDL-SDAE-SGD,25,11,0.9926441740327546,0.9349782821107601
Toys and Games,CDL-SDAE-SGD,25,12,0.9932860163042879,0.9349560314701759
Toys and Games,CDL-SDAE-SGD,25,13,0.9937722430845325,0.9349385252306878
Toys and Games,CDL-SDAE-SGD,25,14,0.9941603219165587,0.9349300316374052
Toys and Games,CDL-SDAE-SGD,25,15,0.9944736397785661,0.934922670523227
Toys and Games,CDL-SDAE-SGD,25,16,0.9947162536031001,0.9348945449328043
Toys and Games,CDL-SDAE-SGD,25,17,0.9949253041907774,0.934874085365456
Toys and Games,CDL-SDAE-SGD,25,18,0.99508375367373,0.9348542151683605
Toys and Games,CDL-SDAE-SGD,25,19,0.995217038976818,0.9348484898573329
Toys and Games,CDL-SDAE-SGD,25,20,0.9953226973349305,0.9348395402922005
Toys and Games,CDL-SDAE-SGD,25,21,0.9954075442529651,0.9348330379746763
Toys and Games,CDL-SDAE-SGD,25,22,0.9954745086267646,0.934826234520663
Toys and Games,CDL-SDAE-SGD,25,23,0.9955296483420968,0.9348264381878538
Toys and Games,CDL-SDAE-SGD,25,24,0.9955752977320844,0.9348260647980042
Toys and Games,CDL-SDAE-SGD,25,25,0.9956098936075203,0.9348252060013499
Toys and Games,CDL-SDAE-SGD,25,26,0.9956403672590165,0.9348243339924399
Toys and Games,CDL-SDAE-SGD,25,27,0.99566679796011,0.9348234531753588
Toys and Games,CDL-SDAE-SGD,25,28,0.9956913260963082,0.9348243392353985
Toys and Games,CDL-SDAE-SGD,25,29,0.9957158542325064,0.9348251641878496
Toys and Games,CDL-SDAE-SGD,25,30,0.9957380922442938,0.934822498956854
Toys and Games,CDL-SDAE-SGD,25,31,0.995756337665695,0.9348198948637737
Toys and Games,CDL-SDAE-SGD,25,32,0.9957735926826431,0.9348189598835454
Toys and Games,CDL-SDAE-SGD,25,33,0.9957892374558646,0.9348193014503965
Toys and Games,CDL-SDAE-SGD,25,34,0.9958033207806242,0.9348196229250798
Toys and Games,CDL-SDAE-SGD,25,35,0.995813182071209,0.9348184105062741
Toys and Games,CDL-SDAE-SGD,25,36,0.9958182995326567,0.9348186967718253
Toys and Games,CDL-SDAE-SGD,25,37,0.9958234169941043,0.9348189675635633
Toys and Games,CDL-SDAE-SGD,25,38,0.995828534455552,0.9348192241031044
Toys and Games,CDL-SDAE-SGD,25,39,0.9958336519169997,0.9348194674867715
Toys and Games,CDL-SDAE-SGD,25,40,0.9958387693784472,0.9348196987012553
Toys and Games,CDL-SDAE-SGD,25,41,0.9958425986449136,0.9348199186369837
Toys and Games,CDL-SDAE-SGD,25,42,0.9958452828491746,0.9348189012472193
Toys and Games,CDL-SDAE-SGD,25,43,0.995847885263278,0.9348179311779089
Toys and Games,CDL-SDAE-SGD,25,44,0.9958504876773815,0.9348170052026582
Toys and Games,CDL-SDAE-SGD,25,45,0.995854316943848,0.9348172654440686
Toys and Games,CDL-SDAE-SGD,25,46,0.9958569193579514,0.9348174396926652
Toys and Games,CDL-SDAE-SGD,25,47,0.9958583767098493,0.9348175588596381
Toys and Games,CDL-SDAE-SGD,25,48,0.9958598340617473,0.934817673061321
Toys and Games,CDL-SDAE-SGD,25,49,0.9958612914136452,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,50,0.9958616037033374,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,51,0.99586191599303,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,52,0.9958622282827224,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,53,0.9958625405724149,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,54,0.9958628528621071,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,55,0.9958631651517996,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,56,0.9958634774414921,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,57,0.9958637897311845,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,58,0.9958641020208769,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,59,0.9958644143105692,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,60,0.9958647266002617,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,61,0.9958650388899541,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,62,0.9958653511796466,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,63,0.9958656634693388,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,64,0.9958659757590314,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,65,0.9958662880487238,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,66,0.9958666003384162,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,67,0.9958669126281084,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,68,0.995867224917801,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,69,0.9958675372074934,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,70,0.9958678494971859,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,71,0.9958681617868781,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,72,0.9958684740765706,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,73,0.9958687863662631,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,74,0.9958690986559555,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,75,0.9958694109456477,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,76,0.9958697232353402,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,77,0.9958700355250327,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,78,0.9958703478147252,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,79,0.9958706601044174,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,80,0.9958709723941098,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,81,0.9958712846838024,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,82,0.9958715969734948,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,83,0.995871909263187,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,84,0.9958722215528795,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,85,0.995872533842572,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,86,0.9958728461322645,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,87,0.9958731584219567,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,88,0.9958734707116491,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,89,0.9958737830013416,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,90,0.9958740952910341,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,91,0.9958744075807263,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,92,0.9958747198704188,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,93,0.9958750321601112,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,94,0.9958753444498037,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,95,0.995875656739496,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,96,0.9958759690291884,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,97,0.9958762813188808,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,98,0.9958765936085734,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,99,0.9958769058982656,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,100,0.995877218187958,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,101,0.9958775304776505,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,102,0.995877842767343,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,103,0.9958781550570353,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,104,0.9958784673467277,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,105,0.9958787796364201,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,106,0.9958790919261126,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,107,0.9958794042158049,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,108,0.9958797165054973,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,109,0.9958800287951898,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,110,0.9958803410848822,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,111,0.9958806533745745,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,112,0.995880965664267,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,113,0.9958812779539594,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,114,0.9958815902436519,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,115,0.9958819025333442,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,116,0.9958822148230366,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,117,0.9958825271127291,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,118,0.9958828394024215,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,119,0.9958831516921138,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,120,0.9958834639818063,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,121,0.9958837762714987,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,122,0.9958840885611911,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,123,0.9958844008508835,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,124,0.9958847131405759,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,125,0.9958850254302684,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,126,0.9958853377199608,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,127,0.9958856500096531,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,128,0.9958859622993456,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,129,0.995886274589038,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,130,0.9958865868787304,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,131,0.9958868991684228,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,132,0.9958872114581152,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,133,0.9958875237478076,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,134,0.9958878360375001,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,135,0.9958881483271924,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,136,0.9958884606168849,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,137,0.9958887729065773,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,138,0.9958890851962697,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,139,0.9958893974859621,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,140,0.9958897097756545,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,141,0.9958900220653469,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,142,0.9958903343550394,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,143,0.9958906466447317,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,144,0.9958909589344241,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,145,0.9958912712241166,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,146,0.995891583513809,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,147,0.9958918958035012,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,148,0.9958922080931938,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,149,0.9958925203828862,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,150,0.9958928326725787,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,151,0.9958931449622709,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,152,0.9958934572519634,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,153,0.9958937695416559,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,154,0.9958940818313483,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,155,0.9958943941210405,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,156,0.9958947064107331,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,157,0.9958950187004255,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,158,0.995895330990118,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,159,0.9958956432798102,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,160,0.9958959555695026,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,161,0.9958962678591952,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,162,0.9958965801488876,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,163,0.9958968924385798,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,164,0.9958972047282723,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,165,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,166,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,167,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,168,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,169,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,170,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,171,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,172,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,173,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,174,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,175,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,176,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,177,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,178,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,179,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,180,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,181,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,182,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,183,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,184,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,185,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,186,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,187,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,188,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,189,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,190,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,191,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,192,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,193,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,194,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,195,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,196,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,197,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,198,0.9958975170179648,0.9348177826017106
Toys and Games,CDL-SDAE-SGD,25,199,0.9958975170179648,0.9348177826017106
